1a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50C,,,30C,,,2C,,,,,,,50C,,,30C,,,2C,,,,50C,,,30C,,,2C,,
0,40321,41523,0,41262,43551,0,40185,39645,,,,,0,1,1,0,1,1,0,1,1,,0,1,0,0,1,0,0,1,0
5,17789,21160,15,18171,26392,1,30114,30456,,,,,5,0.441184494,0.509597091,15,0.44038098,0.606002158,1,0.749384099,0.768217934,,5,0.475390793,0.034206298,15,0.523191569,0.082810589,1,0.758801016,0.009416918
10,152,161,30,182,1411,2,18915,20334,,,,,10,0.003769748,0.003877369,30,0.004410838,0.032398797,2,0.470698022,0.512902005,,10,0.003823558,5.38107E-05,30,0.018404817,0.013993979,2,0.491800013,0.021101992
,,,60,29,30,3,821,870,,,,,,,,60,0.000702826,0.000688848,3,0.020430509,0.02194476,,,,,60,0.000695837,6.98914E-06,3,0.021187634,0.000757125
,,,,,,4,338,499,,,,,,,,,,,4,0.008411099,0.012586707,,,,,,,,4,0.010498903,0.002087804
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b,,,,,,,,,,,,,50C,,,30C,,,2C,,,,50C,,,30C,,,2C,,
0,0.54,0.56,0,0.53,0.55,0,0.56,0.54,,,,,0,1,1,0,1,1,0,1,1,,0,1,0,0,1,0,0,1,0
5,0.367,0.399,30,0.368,0.402,1,0.51,0.51,,,,,5,0.67962963,0.7125,15,0.694339623,0.730909091,1,0.910714286,0.944444444,,5,0.696064815,0.016435185,30,0.712624357,0.018284734,1,0.927579365,0.016865079
10,0.175,0.197,60,0.176,0.202,2,0.384,0.4,,,,,10,0.324074074,0.351785714,30,0.332075472,0.367272727,2,0.685714286,0.740740741,,10,0.337929894,0.01385582,60,0.349674099,0.017598628,2,0.713227513,0.027513228
15,0.132,0.166,120,0.156,0.177,3,0.291,0.3,,,,,15,0.244444444,0.296428571,60,0.294339623,0.321818182,3,0.519642857,0.555555556,,15,0.270436508,0.025992063,120,0.308078902,0.01373928,3,0.537599206,0.017956349
20,0.122,0.159,,,,4,0.255,0.263,,,,,20,0.225925926,0.283928571,,,,4,0.455357143,0.487037037,,20,0.254927249,0.029001323,,,,4,0.47119709,0.015839947
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c,,,,,,,,,,,,,50C,,,30C,,,2C,,,,50C,,,30C,,,2C,,
0,41853,42361,0,40482,41638,0,43105,40316,,,,,0,1,1,0,1,1,0,1,1,,0,1,0,0,1,0,0,1,0
15,38923,42954,15,42263,46468,1,46941,47210,,,,,15,0.93,1.014,15,1.044,1.116,1,1.089,1.171,,15,0.972,0.042,15,1.08,0.036,1,1.13,0.041
30,39710,43344,30,43267,47934,2,43493,42372,,,,,30,0.9488,1.0232,30,1.0688,1.1512,2,1.009,1.051,,30,0.986,0.0372,30,1.11,0.0412,2,1.03,0.021
45,38170,43039,60,43194,48841,3,41812,39913,,,,,45,0.912,1.016,60,1.067,1.173,3,0.97,0.99,,45,0.964,0.052,60,1.12,0.053,3,0.98,0.01
,,,,,,4,44398,43944,,,,,,,,,,,4,1.03,1.09,,,,,,,,4,1.06,0.03
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1d,,,,,,,,,,,,,50C,,,30C,,,2C,,,,50C,,,30C,,,2C,,
0,0.54,0.53,0,0.55,0.56,0,0.54,0.55,,,,,0,1,1,0,1,1,0,1,1,,0,1,0,0,1,0,0,1,0
