2C,Hexa,,,Penta,,,Tetra,,,,,,Hexa,,,Penta,,,Tetra,,,,2C,Hexa,,,Penta,,,Tetra,,,uM,PCA,,PCE,,TCE
0,43826,42079,0,0,0,0,0,0,,,,,0,50,50,0,0,0,0,0,0,,0,50,0,0,0,0,0,0,0,,0,0,0,0,0,0
1,32841,32324,1,0,0,1,0,0,,,,,1,37.46748505,38.40870743,1,0,0,1,0,0,,1,37.93809624,0.470611188,1,0,0,1,0,0,,0.04950495,109,0.05952381,135,0.07518797,53
2,20628,21582,2,2036,2578,2,592,786,,,,,2,23.53397527,25.64462083,2,0.90939748,1.151486592,2,0.284673825,0.377962207,,2,24.58929805,1.055322783,2,1.030442036,0.121044556,2,0.331318016,0.046644191,,0.495049505,1014,0.595238095,1165,0.751879699,326
3,895,924,3,3171,3220,3,377,404,,,,,3,1.021083375,1.097934837,3,1.416355308,1.438241593,3,0.181287216,0.194270651,,3,1.059509106,0.038425731,3,1.427298451,0.010943143,3,0.187778933,0.006491717,,2.475247525,5289,2.976190476,5872,3.759398496,1775
4,367,529,4,1731,2131,4,161,216,,,,,4,0.418701228,0.628579577,4,0.773166521,0.951830073,4,0.07741974,0.103867477,,4,0.523640402,0.104939174,4,0.862498297,0.089331776,4,0.090643608,0.013223869,,4.95049505,11118,5.952380952,12443,7.518796992,3590
,,,5,1073,1297,5,6,10,,,,,,,,5,0.479264978,0.579316567,5,0.002885208,0.004808679,,,,,5,0.529290773,0.050025795,5,0.003846944,0.000961736,,,,,,,
30C,Hexa,,,Penta,,,Tetra,,,,,,Hexa,,,Penta,,,Tetra,,,,30C,Hexa,,,Penta,,,Tetra,,,Y =,2238.845135,,2079.573077,,477.1886069
0,42163,40899,0,0,0,0,0,0,,,,,0,50,50,0,0,0,0,0,0,,0,50,0,0,0,0,0,0,0,,R2,0.9993,,1,,0.9998
15,18602,20842,30,9676,11235,30,9545,12914,,,,,15,22.05962574,25.47984058,30,4.321871322,5.018212516,30,4.589884558,6.209928673,,15,23.76973316,1.710107422,30,4.670041919,0.348170597,30,5.399906615,0.810022057,,,,,,,
30,0,0,60,4603,5740,60,2720,4600,,,,,30,0,0,60,2.055970824,2.563821971,60,1.307960817,2.211992558,,30,0,0,60,2.309896397,0.253925573,60,1.759976688,0.452015871,,,,,,,
60,0,0,120,1391,3692,120,946,2547,,,,,60,0,0,120,0.621302502,1.649064585,120,0.454901078,1.224770662,,60,0,0,120,1.135183543,0.513881041,120,0.83983587,0.384934792,,,PCA,PCE,TCE,,
120,0,0,180,695,2222,180,815,1722,,,,,120,0,0,180,0.310427922,0.992476031,180,0.391907377,0.828054605,,120,0,0,180,,,180,0.609980991,0.218073614,,0,0,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04950495,0.05952381,0.07518797,,
50C,Hexa,,,Penta,,,Tetra,,,,,,Hexa,,,Penta,,,Tetra,,,,50C,Hexa,,,Penta,,,Tetra,,,0.1,0.495049505,0.595238095,0.751879699,,
0,40616,39846,0,0,0,0,0,0,,,,,0,50,50,0,0,0,0,0,0,,0,50,0,0,0,0,0,0,0,,0.5,2.475247525,2.976190476,3.759398496,,
5,17920,20306,5,1021,1200,5,2273,2416,,,,,5,22.06027181,25.48060031,5,0.456038716,0.535990656,5,1.093012844,1.161776961,,5,23.77043606,1.710164249,5,0.496014686,0.03997597,5,1.127394903,0.034382058,,1,4.95049505,5.952380952,7.518796992,,
10,0,0,10,291,297,10,762,903,,,,,10,0,0,10,0.129977734,0.132657687,10,0.366421376,0.434223757,,10,0,0,10,0.131317711,0.001339977,10,0.400322566,0.03390119,,5,24.75247525,29.76190476,37.59398496,,
15,0,0,15,0,0,15,0,0,,,,,15,0,0,15,0,0,15,0,0,,15,0,0,15,0,0,15,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
