3a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO 66 uM,,,DO 150 uM,,,DO 225 uM,,,Control,,,,DO 66 uM,,,DO 150 uM,,,DO 225 uM,,,Control,,,DO 66 uM,,,DO 150 uM,,,DO 225 uM,,,Control,,
0,48513,47621,0,46514,43152,0,42162,44561,0,43518,45651,,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
5,34657,38525,7.5,39937,39849,7.5,37002,41054,15,43145,47970,,5,0.714385835,0.808991831,7.5,0.858601711,0.923456618,7.5,0.877614914,0.921298894,15,0.991428834,1.050798449,5,0.761688833,0.047302998,7.5,0.891029165,0.032427454,7.5,0.899456904,0.02184199,15,1.021113642,0.029684808
10,28399,31468,15,32508,36666,15,31735,39575,30,40937,46897,,10,0.585389483,0.660800907,15,0.698886357,0.849694105,15,0.752691998,0.888108436,30,0.940691208,1.027294035,10,0.623095195,0.037705712,15,0.774290231,0.075403874,15,0.820400217,0.067708219,30,0.983992622,0.043301413
12.5,14219,16567,22.5,29871,30707,22.5,30521,40092,45,42700,47422,,12.5,0.293096696,0.347892736,22.5,0.642193748,0.711600853,22.5,0.723898297,0.899710509,45,0.98120318,1.038794331,12.5,0.320494716,0.02739802,22.5,0.6768973,0.034703552,22.5,0.811804403,0.087906106,45,1.009998756,0.028795575
15,3085,6153,26.75,16745,19979,30,27140,38380,60,41716,47267,,15,0.063591202,0.129207702,26.75,0.35999914,0.462991287,30,0.643707604,0.861291264,60,0.958591847,1.035399005,15,0.096399452,0.03280825,26.75,0.411495213,0.051496073,30,0.752499434,0.10879183,60,0.996995426,0.038403579
20,145,162,30,6898,10188,33.75,15865,23889,,,,,20,0.00298889,0.003401861,30,0.148299437,0.236095662,33.75,0.376286704,0.536096587,,,,20,0.003195375,0.000206485,30,0.192197549,0.043898113,33.75,0.456191645,0.079904942,,,
,,,33.75,1693,5014,37.5,2070,6296,,,,,,,,33.75,0.036397644,0.116193919,37.5,0.049096343,0.141289468,,,,,,,33.75,0.076295781,0.039898138,37.5,0.095192906,0.046096563,,,
,,,37.5,222,241,45,125,248,,,,,,,,37.5,0.004772757,0.005584909,45,0.002964755,0.005565405,,,,,,,37.5,0.005178833,0.000406076,45,0.00426508,0.001300325,,,
,,,45,57,108,52.5,84,101,,,,,,,,45,0.001225438,0.002502781,52.5,0.001992315,0.002266556,,,,,,,45,0.001864109,0.000638672,52.5,0.002129436,0.00013712,,,
,,,52.5,30,84,60,35,71,,,,,,,,52.5,0.000644967,0.001946607,60,0.000830131,0.001593322,,,,,,,52.5,0.001295787,0.00065082,60,0.001211726,0.000381595,,,
,,,60,37,66,,,,,,,,,,,60,0.000795459,0.001529477,,,,,,,,,,60,0.001162468,0.000367009,,,,,,
3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DO 66 uM,,,DO 150 uM,,,DO 225 uM,,,Control,,,,DO 66 uM,,,DO 150 uM,,,DO 225 uM,,,Control,,,DO 66 uM,,,DO 150 uM,,,DO 225 uM,,,Control,,
0,2.1,2.1,0,4.7,4.7,0,4.7,4.7,0,7.2,7.2,,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0
5,1.88,1.93,15,4.4,4.5,15,4.6,4.7,15,7.14,7.17,,5,0.895238095,0.919047619,15,0.936170213,0.957446809,15,0.978723404,1,15,0.991666667,0.995833333,5,0.907142857,0.011904762,15,0.946808511,0.010638298,15,0.989361702,0.010638298,15,0.99375,0.002083333
10,1.81,1.91,30,3.6,4.1,30,3.9,1.2,30,7.14,7.16,,10,0.861904762,0.90952381,30,0.765957447,0.872340426,30,0.829787234,0.255319149,30,0.991666667,0.994444444,10,0.885714286,0.023809524,30,0.819148936,0.053191489,30,0.542553191,0.287234043,30,0.993055556,0.001388889
12.5,1.58,1.65,45,0.99,1.78,45,1.5,2.1,45,7.08,7.11,,12.5,0.752380952,0.785714286,45,0.210638298,0.378723404,45,0.319148936,0.446808511,45,0.983333333,0.9875,12.5,0.769047619,0.016666667,45,0.294680851,0.084042553,45,0.382978723,0.063829787,45,0.985416667,0.002083333
15,1.23,1.3,,,,,,,60,7.04,7.09,,15,0.585714286,0.619047619,,,,,,,60,0.977777778,0.984722222,15,0.602380952,0.016666667,,,,,,,60,0.98125,0.003472222
