4a,,,,,,,,,,,,,BA,,,,,,,,,,,BA,,,,,,,,
Control,,,BA degrd,,,[DO] mg/L,,,,,,,Control,,,BA degrd,,,[DO] mg/L,,,,,Control,,,BA degrd,,,[DO] mg/L,,
0,115.4,122.6,0,117.3,124.7,0,8.41,8.78,,,,,0,2,2,0,2,2,0,262.8125,274.375,,,0,2,0,0,2,0,0,268.59375,5.78125
30,120.6,125.4,2.5,116.5,119.6,15,5.3015625,6.68,,,,,30,2.090121317,2.045676998,2.5,1.986359761,1.918203689,15,165.6738281,208.75,,,30,2.067899158,0.022222159,2.5,1.952281725,0.034078036,15,187.2119141,21.53808594
60,114,123.6,5,109.3,114.5,30,1.51,3.2,,,,,60,1.975736568,2.016313214,5,1.863597613,1.836407378,30,47.1875,100,,,60,1.996024891,0.020288323,5,1.850002495,0.013595118,30,73.59375,26.40625
120,118.8,123.6,10,96.8,101.1,60,0.8,1.81,,,,,120,2.058925477,2.016313214,10,1.650468883,1.62149158,60,25,56.5625,,,120,2.037619345,0.021306131,10,1.635980231,0.014488652,60,40.78125,15.78125
150,120.6,127.8,15,93.7,98.9,90,4,6.5,,,,,150,2.090121317,2.084828711,15,1.597612958,1.586206897,90,125,203.125,,,150,2.087475014,0.002646303,15,1.591909927,0.005703031,90,164.0625,39.0625
,,,20,81.7,89.2,120,6,9.7,,,,,,,,20,1.393009378,1.43063352,120,187.5,303.125,,,,,,20,1.411821449,0.018812071,120,245.3125,57.8125
,,,30,74.9,79.3,,,,,,,,,,,30,1.277067349,1.271852446,,,,,,,,,30,1.274459897,0.002607451,,,
,,,45,63.6,71.9,,,,,,,,,,,45,1.084398977,1.153167602,,,,,,,,,45,1.11878329,0.034384313,,,
,,,60,54.6,59.2,,,,,,,,,,,60,0.930946292,0.949478749,,,,,,,,,60,0.94021252,0.009266229,,,
,,,90,12.5,19.7,,,,,,,,,,,90,0.21312873,0.3159583,,,,,,,,,90,0.264543515,0.051414785,,,
,,,120,1.9,7.3,,,,,,,,,,,120,0.032395567,0.117080994,,,,,,,,,120,0.074738281,0.042342714,,,
,,,150,0,0,,,,,,,,,,,150,0,0,,,,,,,,,150,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[PS]0=1000,,,,[PS]0=1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.508,0.551,,0,1,1,,0,1000,1000,,,,0,1000,0,,,,,,,,,,,,,,,,
2.5,0.51,0.56,,2.5,1.003937008,1.016333938,,2.5,1003.937008,1016.333938,,,,2.5,1010.135473,6.19846521,,,,,,,,,,,,,,,,
5,0.48,0.56,,5,0.94488189,1.016333938,,5,944.8818898,1016.333938,,,,5,980.607914,35.72602427,,,,,,,,,,,,,,,,
10,0.49,0.58,,10,0.964566929,1.052631579,,10,964.5669291,1052.631579,,,,10,1008.599254,44.03232491,,,,,,,,,,,,,,,,
15,0.5,0.57,,15,0.984251969,1.034482759,,15,984.2519685,1034.482759,,,,15,1009.367364,25.11539506,,,,,,,,,,,,,,,,
20,0.5,0.58,,20,0.984251969,1.052631579,,20,984.2519685,1052.631579,,,,20,1018.441774,34.18980522,,,,,,,,,,,,,,,,
30,0.5,0.53,,30,0.984251969,0.961887477,,30,984.2519685,961.8874773,,,,30,973.0697229,11.18224559,,,,,,,,,,,,,,,,
60,0.48,0.49,,60,0.94488189,0.889292196,,60,944.8818898,889.292196,,,,60,917.0870429,27.79484688,,,,,,,,,,,,,,,,
120,0.39,0.42,,120,0.767716535,0.762250454,,120,767.7165354,762.2504537,,,,120,764.9834946,2.733040856,,,,,,,,,,,,,,,,
